Model,accuracy,precision,recall,f1,train_time,predict_time
Logistic Regression,0.6335713928981671,0.1621226226891874,0.5403368794326241,0.24941176470588236,4.76685643196106,0.028415918350219727
Decision Tree,0.8146631373919992,0.15373631603998097,0.14317375886524822,0.14826715630020657,36.95312476158142,0.06619000434875488
Random Forest,0.6233331668581131,0.164679015478305,0.575354609929078,0.25606628526336556,52.87735104560852,0.14652132987976074
Gradient Boosting,0.8871298007291615,0.35714285714285715,0.002216312056737589,0.004405286343612335,235.61394143104553,0.11419820785522461
