Model,accuracy,precision,recall,f1,train_time,predict_time
Logistic Regression,0.6335713928981671,0.1621226226891874,0.5403368794326241,0.24941176470588236,11.053937673568726,0.04421520233154297
Decision Tree,0.6489537032412726,0.16932243314396564,0.5416666666666666,0.25799641085189484,21.869242191314697,0.06815934181213379
Random Forest,0.6327223692753333,0.16870288536521966,0.575354609929078,0.26090452261306535,50.25888657569885,0.16469430923461914
Gradient Boosting,0.8871298007291615,0.35714285714285715,0.002216312056737589,0.004405286343612335,204.5721127986908,0.1096963882446289
