threshold,precision,recall,f1
0.05,0.11267042900664236,1.0,0.20252255487230128
0.1,0.11270420142878554,1.0,0.20257711130067796
0.15,0.11311195826645265,0.9995567375886525,0.20322638788752703
0.2,0.11338901543912934,0.9929078014184397,0.20353459633819454
0.25,0.11543673129038982,0.9818262411347518,0.20658459242678603
0.3,0.12089451855173187,0.9561170212765957,0.21464822370385114
0.35,0.1316247021701333,0.9060283687943262,0.2298566207478212
0.4,0.14475442043222003,0.8164893617021277,0.2459114878846539
0.45,0.1593684837652666,0.711436170212766,0.2604039912387442
0.5,0.17554267223944992,0.5771276595744681,0.2692029360074434
0.55,0.20227272727272727,0.43395390070921985,0.2759301014656144
0.6,0.22601626016260162,0.30806737588652483,0.26073907334458823
0.65,0.2556818181818182,0.19946808510638298,0.2241035856573705
0.7,0.29940828402366865,0.11214539007092199,0.16317316994517897
0.75,0.35714285714285715,0.06870567375886524,0.11524163568773234
0.8,0.4503311258278146,0.030141843971631204,0.05650186954715413
0.85,0.5,0.005319148936170213,0.010526315789473684
0.9,0.0,0.0,0.0
0.95,0.0,0.0,0.0
